作品名称,简介
《墨梅》,《墨梅》是元代诗人王冕创作的一首七言绝句。此诗开头两句直接描写墨梅，最后两句盛赞墨梅的高风亮节，赞美墨梅不求人夸，只愿给人间留下清香的美德，实际上是借梅自喻，表达自己对人生的态度以及不向世俗献媚的高尚情操。全诗构思精巧、淡中有味，直中有曲，极富清新高雅之气。
《白梅》,《白梅》是元代王冕创作的七言绝句。诗人采取托物言志的手法歌咏了白梅的高洁品格，同时借梅自喻，表达自己的人生态度。诗人既是咏物，也是歌咏人的精神品格。
《南枝春早图》,《历代名画宣纸高清大图:王冕南枝春早图》采用高清宣纸制作，力求体现画作整体的最高艺术水平，且添加内容简介、风格阐述、作者介绍，以方便读者鉴赏学习。此图绘一枝老梅虬枝如铁，从左上方以S型直插向右下角，粗壮的主干以书法的笔意奋力写出，挺劲洒脱。枝干的末梢长短粗细各有不同，颇有汤叔雅的遗意。
《高太史大全集》,《高太史大全集》是由出版社出版的一部教育作品，作者是高启。
《凫藻集》,古籍名凫藻集，作者是明朝的高启，他短暂的三十九年人生，以诗著称，留下诗二千余首，四五言短句犹可爱。杂著《凫藻集》、《扣舷集》颇有新意，许多见解值得品味。他的词写生活境遇，直白而饶有韵味。
《升庵集》,杨慎，明代著名学者、文学家，字用修，号升庵，四川新都人。杨慎一生历经坎坷，然而性情狂放、率直激烈、交游甚广。杨慎一生作品很多，文学作品主要收录在《升庵集》里。杨慎列出了一张与李东阳不尽相同的龙生九子名单；评价暴秦“南槐之一梦也”；奸相严嵩是杨慎的故交；相门出身，早登科第，流放永昌，老死滇南，对云南文学产生的影响巨大。
《江陵别内》,《临江仙·戍云南江陵别内》是明代词人杨慎所写的一首词。词入手即点出离别地点：“楚塞”指的是江陵西面的南津关，因江陵在春秋时是楚国的郢都，南津关扼守西陵峡口，形势险要，历来是兵家必争的要塞。“巴山”指高耸夹峙在巴东三峡之一的西陵峡两岸的巴蜀山峰。作者与妻子的告别之处正在江陵的临江渡口。
《樊榭山房集》,《樊榭山房集》是厉鹗的诗文集，10卷2册；《樊榭山房续集》10卷2册共4册20卷全、每册近90页180面共700余面。迄今为止，收录其作最全的本子为上海古籍出版社1992年出版的《樊榭山房集》整理本。
《宋诗纪事》,《宋诗纪事》是清代厉鹗编辑的宋代诗歌资料汇集，共100卷。书中录宋诗作者3812家及其小传。书中记载了与诗歌有关的事迹和人物。诗后列举了有关诗的本事。本书兼有诗选性质。
《曝书亭集》,《曝书亭集》是清代词人朱彝尊去世前，亲自删定的一部词集。全集共八十卷，包括赋一卷、古今诗二十二卷、词七卷、文五十卷，又附录散曲《叶儿乐府》一卷。该集刻成于康熙四十八年。
《经义考》,《经义考》是清朱彝尊考证历代经籍存佚的著作。 清代初年，随着学风逐渐由空返实，学者不约而同倡导经学，注重考据，朱彝尊也详考历代经籍存佚情形，撰三百卷。
《明诗综》,《明诗综》，明代中国诗歌总集，共一百卷，朱彝尊辑录，其友汪森、朱端、张大受等人分卷辑评。收录明初洪武直至明末崇祯历朝诗人以及明亡后遗民及殉节大臣共3400余人的作品。附有作家小传及其友人汪森，朱端等人的分卷辑评，并附自著《静志居诗话》。
《词综》,书名，词总集。清代朱彝尊、汪森编。朱彝尊，字锡鬯，号竹垞。浙江秀水人。举博学鸿词科，授检讨。
《船山诗草》,《船山诗草》，清张问陶撰。
《离骚》,《离骚》是中国战国时期诗人屈原创作的诗篇，是中国古代最长的抒情诗。此诗以诗人自述身世、遭遇、心志为中心。前半篇反复倾诉诗人对楚国命运和人民生活的关心，表达要求革新政治的愿望，和坚持理想、虽逢灾厄也绝不与邪恶势力妥协的意志；后半篇通过神游天界、追求理想的实现和失败后欲以身殉的陈述，反映出诗人热爱国家和人民的思想感情。全诗运用美人香草的比喻、大量的神话传说和丰富的想象，形成绚烂的文采和宏伟的结构，表现出积极的浪漫主义精神，并开创了中国文学史上的“骚体”诗歌形式，对后世产生了深远影响。其主要注本有东汉王逸的《楚辞章句》、南宋朱熹的《楚辞集注》、清代戴震的《屈原赋注》等。
《九歌》,《九歌》是《楚辞》的篇名，原为中国神话传说中的一种远古歌曲的名称，战国楚人屈原在楚地民间祭神乐歌的基础上改作加工而成，诗中创造了大量神的形象，大多是人神恋歌。《九歌》共十一篇：《东皇太一》、《云中君》、《湘君》、《湘夫人》、《大司命》、《少司命》、《东君》、《河伯》、《山鬼》、《国殇》、《礼魂》。
《九章》,《九章》是短篇抒情诗集，包括9篇作品。依王逸《楚辞章句》的次序是：《惜诵》、《涉江》、《哀郢》、《抽思》、《怀沙》、《思美人》、《惜往日》、《橘颂》、《悲回风》。这9篇的作者，王逸都定为屈原。
《天问》,《天问》是中国战国时期诗人屈原创作的一首长诗。此诗从天地离分、阴阳变化、日月星辰等自然现象，一直问到神话传说乃至圣贤凶顽和治乱兴衰等历史故事，表现了作者对某些传统观念的大胆怀疑，以及追求真理的探索精神，具有浓厚的道家色彩。语言别具一格，句式以四言为主，不用语尾助词，四句一节，每节一韵，节奏音韵自然协调。全诗通篇是对天地、自然和人世等一切事物现象的发问，内容奇绝，显示出作者沉潜多思、思想活跃、想象丰富的个性，表现出超卓非凡的学识和惊人的艺术才华，被誉为是“千古万古至奇之作”。
《九辩》,《九辩》是中国古代浪漫主义诗集《楚辞》中的一首感情深挚的长篇抒情诗，共有250多句。东汉王逸定为战国时期楚国的宋玉所作。从诗的内容来看，其基本思想是表达“贫士失职而志不平”的感慨。这种感慨，在中国古代社会中带有普遍性。此诗在一定程度上对现实的黑暗有所反映，并表达了诗人“处浊世而显荣兮，非余心之所乐；与其无义而有名兮，宁处穷而守高”的志尚。在艺术上，《九辩》虽多模仿屈原《离骚》之处，但也有自己的特色。它善于借景抒情，融情于景，并且句法多变，能够巧妙地运用双声叠韵和叠字等修辞手法，读起来抑扬顿挫，饶有音乐美，从而具有很强的艺术感染力。
《风赋》,《风赋》是战国末期文学家宋玉创作的文学作品。这篇文章以风为题材，分为四个层次。首先写宋玉与楚襄王间关于风的一段对话，提出庶人不能享受大王之风；接着描写风的性质和动态；再描写大王之雄风的性状，指出它“清凉增欷，清清泠泠，愈病析醒，发明耳目，宁体便人”；最后描写庶人之雌风的性状，指出它“驱温致湿，中心惨怛，生病造热”，不利于人。作品采用夸张的手法，通过“大王之雄风”和“庶人之雌风”的对比描写，使大王奢侈豪华的生活和庶人贫穷悲惨的生活形成鲜明的对照，揭露社会生活中不平等的现象。通篇采用铺陈笔法，刻画风的动态十分细致。
《高唐赋》,《高唐赋》是战国末期辞赋家宋玉创作的一篇赋。此赋在序中通过对话写了楚顷襄王之前的某位楚王与神女巫山欢会的故事。正文分六段，第一段写雨后新晴而百川汇集时水势奔腾澎湃之状；第二段写山中草木繁茂兴旺，风吹枝条发出悲鸣声宛如音乐，打动了各种人的心弦；第三段写登山远望，所见山势高峻险恶，岩石崎岖参差，山高穴深，怪石嶙岣，动人心魄；第四段写登上高唐观之侧可见迥然不同的景象：芳草丛生，众鸟和鸣，一些术士仙人正在聚会祈祷；第五段写楚王奏乐畋猎的盛况；最后一段指出楚王如能进用贤才，就会精神通畅，延年益寿，不必去与神女相会。全赋辞釆瑰丽，铺陈排比，刻意形容，句法多变化，行文气势贯通，通过夸张描写给人一种壮美感，读起来琅琅上口。
《神女赋》,《神女赋》是战国时期辞赋家宋玉创作的一篇赋。此赋赋序写作者夜梦神女，乃告于楚襄王，楚襄王命其作赋；正文则先细致描写神女的容颜、装饰、仪态和作者向神女求爱而遭拒绝的过程，再写神女离去之态和作者对她的思念。全赋交错运用了各种句式，做到整散相间而错落有致，使语言不仅具有一种鲜明的节奏感和音乐美，而且具有一种散文体的自如流畅的气势。
《登徒子好色赋》,《登徒子好色赋》是战国时期楚国文学家宋玉的辞赋作品。此赋巧妙地运用烘托的手法描绘了美女，不少辞句如“东家之子，增之一分则太长，减之一分则太短，着粉则太白，施朱则太赤”等历来被视为展示女性之美的经典之笔。文章还刻画了一个丑女形象说明登徒子的好色，并借章华大夫之口，表明自己的爱情观。全文寓理于事，刻画生动形象，比喻精巧传神，具有很高的艺术成就。
《水龙吟·登建康赏心亭》,《水龙吟·登建康赏心亭》是南宋文学家辛弃疾创作的一首词。全词就登临所见挥发，由写景进而抒情，情和景融合无间，将内心的感情写得既含蓄而又淋漓尽致。虽然出语沉痛悲愤，但整首词的基调还是激昂慷慨的，表现出辛词豪放的风格特色。
《永遇乐·京口北固亭怀古》,《永遇乐·京口北固亭怀古》是南宋词人辛弃疾创作的一首词。作者是怀着深重的忧虑和一腔悲愤写这首词的。上片赞扬在京口建立霸业的孙权和率军北伐气吞胡虏的刘裕，表示要像他们一样金戈铁马为国立功。下片借讽刺刘义隆表明自己坚决主张抗金但反对冒进误国的立场和态度。全词豪壮悲凉，义重情深，放射着爱国主义的思想光辉。词中用典贴切自然，紧扣题旨，增强了作品的说服力和意境美。
《美芹十论》,《美芹十论》为南宋爱国词人辛弃疾所作，该书从第一论以至于第十论，无一不是精辟之论。同时，这也是一部很好的军事论著，有着很高的研究价值。除此之外，《美芹十论》成了辛弃疾的代名词，郭沫若先生为辛弃疾墓写过一副挽联：“铁板铜琶，继东坡高唱大江东去；美芹悲黍，冀南宋莫随鸿雁南飞。”。
《声声慢·寻寻觅觅》,《声声慢·寻寻觅觅》是宋代女词人李清照的作品。作品通过描写残秋所见、所闻、所感，抒发自己因国破家亡、天涯沦落而产生的孤寂落寞、悲凉愁苦的心绪，具有浓厚的时代色彩。此词在结构上打破了上下片的局限，一气贯注，着意渲染愁情，如泣如诉，感人至深。开头连下十四个叠字，形象地抒写了作者的心情；下文“点点滴滴”又前后照应，表现了作者孤独寂寞的忧郁情绪和动荡不安的心境。全词一字一泪，风格深沉凝重，哀婉凄苦，极富艺术感染力。
《一剪梅·红藕香残玉簟秋》,《一剪梅·红藕香残玉簟秋》是宋代女词人李清照的作品。此词作于词人与丈夫赵明诚离别之后，寄寓着词人不忍离别的一腔深情，反映出初婚少妇沉溺于情海之中的纯洁心灵。全词以女性特有的沉挚情感，丝毫“不落俗套”的表现方式，展示出一种婉约之美，格调清新，意境幽美，称得上是一首工致精巧的别情佳作。
《夏日绝句》,《夏日绝句》是宋代词人李清照创作的一首五言绝句。这是一首借古讽今、抒发悲愤的怀古诗。诗的前两句，语出惊人，直抒胸臆，提出人“生当作人杰”，为国建功立业，报效朝廷；“死”也应该做“鬼雄”，方才不愧于顶天立地的好男儿。深深的爱国之情喷涌出来，震撼人心。最后两句，诗人通过歌颂项羽的悲壮之举来讽刺南宋当权者不思进取、苟且偷生的无耻行径。全诗只有短短的二十个字，却连用三个典故，可谓字字珠玑，字里行间透出一股正气。
《小山词》,《小山词》由晏几道所著，于元祐四年被晏几道所整理成书。
《浣溪沙·一曲新词酒一杯》,《浣溪沙·一曲新词酒一杯》是宋代词人晏殊的代表作。此词虽含伤春惜时之意，却实为感慨抒怀之情，悼惜残春，感伤年华的飞逝，又暗寓怀人之意。词之上片绾合今昔，叠印时空，重在思昔；下片则巧借眼前景物，重在伤今。全词语言圆转流利，通俗晓畅，清丽自然，意蕴深沉，启人神智，耐人寻味。词中对宇宙人生的深思，给人以哲理性的启迪和美的艺术享受。其中“无可奈何花落去，似曾相识燕归来”两句历来为人称道。
《乐章集》,《乐章集》系北宋柳永撰。永初名三变，字耆卿，崇安人。景祐元年进士，官至屯田员外郎，故世号柳屯田。
《雨霖铃·寒蝉凄切》,《雨霖铃·寒蝉凄切》是宋代词人柳永的作品。此词上片细腻刻画了情人离别的场景，抒发离情别绪；下片着重摹写想象中别后的凄楚情状。全词遣词造句不着痕迹，绘景直白自然，场面栩栩如生，起承转合优雅从容，情景交融，蕴藉深沉，将情人惜别时的真情实感表达得缠绵悱恻，凄婉动人，堪称抒写别情的千古名篇，也是柳词和婉约词的代表作。
《白石道人诗集》,姜诗在南宋最为杰出，虽篇帜无多，而格意不在范、陆下。其自序主于冥心独造，可谓不负所言。
《白石道人歌曲》,《白石道人歌曲》一称《白石词》，是中国宋代姜夔所作的古代词曲谱集。共6卷，别集1卷。书中收有祀神曲《 越九歌 》 10首，词调令、慢、近、犯17首，琴曲《古怨》1首。 其中《越九歌》旁缀律吕字谱，已标明不同音高；词调是用工尺旁谱，流传中多有讹误之处，后辈研究者对此看法不一；琴曲《古怨》是减字谱，可弹奏。词调17首中，《醉吟商小品》和《霓裳中序第一》是传统大曲的摘篇，《玉梅令》是范成大的作品，其余皆是白石自度曲。
《续书谱》,《姜夔·续书谱》是2008年1月1日江苏美术出版社出版的图书，作者是朱友舟、徐利明。该书主要对《百川学海》《格致丛书》等有代表性的名篇进行了注释，翻译，思想评述等方面的研究。
《淮海集》,《淮海集》是文学家秦观的诗文别集。现在所保存的宋本，最早、最完整的是南宋乾道年间高邮军所刻的《淮海集》四十卷、《长短句》三卷、《后集》六卷，共四十九卷。此本有乾道九年癸巳林机所作《淮海居士文订后序》，称此书系王定国任高邮军的长官时，据当地原藏《淮海文集》“搜访遗逸，咀华涉源，一字不苟，校集成编。总七百二十篇，为四十九卷，板置郡库。”秦观的散文确实具有很高的成就，在北宋文坛上应该占有一席地位 。
《淮海居士长短句》,秦观字太虚，又字少游，汉族，北宋 高邮人，称“苏门四学士”，别号邗沟居士、淮海居士，世称淮海先生。被尊为婉约派一代词宗，官至太学博士，国史馆编修。秦观幼承家学，研习文词，三十岁进京赶考，在徐州结识苏轼。元丰八年，秦观登进土，授定海主簿，调蔡州教授；元祐年间，应制科考试，为宣教郎、太学博士，校正秘书省书籍；后迁正字，兼国史馆编修；绍圣初年，出为杭州通判；不久，贬为监处州酒税，又徙郴州、横州、雷州。徽宗即位后，他复职北归，途中卒于藤州。
《南唐二主词》,《南唐二主词》，系南唐中主李璟、后主李煜撰。约成书于南宋，后世续有辑补，又有后人编写了各种版本；现在流行的则为《南唐二主词校订》。
《满江红·写怀》,《满江红·怒发冲冠》，一般认为是宋代抗金将领岳飞的词作。此词上片抒写作者对中原重陷敌手的悲愤，对局势前功尽弃的痛惜，表达了自己继续努力争取壮年立功的心愿；下片抒写作者对民族敌人的深仇大恨，对祖国统一的殷切愿望，对国家朝廷的赤胆忠诚。全词情调激昂，慷慨壮烈，显示出一种浩然正气和英雄气质，表现了作者报国立功的信心和乐观主义精神。
《小重山·昨夜寒蛩不住鸣》,《小重山·昨夜寒蛩不住鸣》是南宋抗金将领岳飞的词作。词的上阕写深夜梦回的押郁心情。寒蛩的鸣叫，蒙胧的月色；梦回三更，独绕阶行。时间、景色、环境、行动。含蓄曲折、情景交融。三更不寐、绕阶独行，以及隔帘望空中朦胧月色，可以看出他壮志难伸的孤愤之情。下阕写壮志受阻，首句直伸心志。二三句以“旧山松竹老”喻故乡中原盼归人老和作者急欲杀回故乡，收复中原的心情。作者用曲折含蓄之笔，顿挫出之。“欲将”三句，以“高山流水”、知音难觅的比喻，抒写抗金主张。曲高和寡的郁闷、忧愤心情。全词沉郁低徊、曲折含婉、抑扬顿挫、比喻蕴蓄、情景交织，有很高的艺术境地。
《五岳祠盟记》,《五岳祠盟记》是南宋将领岳飞在南宋建炎四年败金兵、收复建康后，于宜兴所作的题壁誓词。这篇文章对在故乡相州起兵和以往战况略作回顾后，自感只是“快国仇之万一”，又简述了这次建康之战。在末段，表达了“蓄锐待敌”、“功期再战”、洗雪国耻、收复中原的决心，是全文的中心所在。全文洋着高昂的爱国激情和忠愤之气，感人至深，语气刚峻，句句铿锵，斩钉截铁，一气贯通。
《四书章句集注》,《四书章句集注》是集《大学》、《中庸》、《论语》、《孟子》于一体的巨作，是一部儒家理学的名著，是封建社会最重要的经典著作，为宋代朱熹最有代表性的著作之一。
《楚辞集注》,《楚辞集注》作于朱熹任潭州荆湖南路安抚使时。楚辞又称“楚词”，是战国时代的伟大诗人屈原创造的一种赋体。
《文山诗集》,《有感》是南宋政治家、文学家，爱国诗人，抗元名臣文天祥的七言律诗。
《指南录》,《指南录》是南宋文臣文天祥自编的一部诗集，标题取自诗句“臣心一片磁针石，不指南方不肯休”。
《指南后录》,《指南录后序》是南宋文天祥为《指南录》所作的一篇序文。该文简略概括地叙述了作者出使元营、面斥敌酋汉奸、被扣押冒死逃脱、颠沛流离、万死南归的冒险经历，反映了民族英雄文天祥坚定不移的战斗意志、忠贞不屈的民族气节和生死不渝的爱国激情。其文被收录在苏教版语文必修三专题三。
《梁溪集》,《梁溪集》是宋李纲创作的诗集。
《靖康传信录》,《靖康传信录》，宋代李纲著，记载了“靖康之变”前后作者的亲身经历和亲见亲闻，是研究此段时间历史的宝贵资料。
《范文正公文集》,《范文正公文集叙》是北宋文学家苏轼于元祐四年为范仲淹文集所作的一篇序。文章先叙述从孩童时听到范仲淹的大名到写这篇叙文这中间四十七年的向慕心情，饱含浓重感情；再引历史人物作比，颂扬范仲淹的文治武功；最后才提到《文集》，但并不论文，却肯定范公有德。文章语言朴实，娓娓道来，既为作叙，又为缅怀逝者，黯然伤怀的同时表达自己无限倾幕。
《睢阳学舍书怀》,《睢阳学舍书怀》是宋朝著名文学家范仲淹的代表作品之一。
《采莲子二首》,《采莲子二首》是唐代皇甫松创作的诗词。
《怨回纥歌》,怨回纥，词牌名，又名“怨回纥歌”。以皇甫松词《怨回纥·祖席驻征棹》为正体，双调四十字，前后段各四句两平韵。另有单调四十字，六句四平韵的变体。代表作品有刘新民词《怨回纥·东南郊游春即兴赠耿娜》等。
《兰陵王·柳》,《兰陵王·柳》是宋代词人周邦彦的作品，被选入《宋词三百首》。这是一首自伤别离的词，写作者离去之愁。此词有生活细节、有人物活动，有抒情主体的心理意绪，形成词作较为鲜明的叙事性和戏剧性特色。全词构思萦回曲折，似浅实深，有吐不尽的心事流荡其中，无论景语、情语，都很耐人寻味。
《瑞龙吟·章台路》,《瑞龙吟·章台路》是北宋词人周邦彦的词作。这是一首访旧感怀之作。此词便是写回京后访问旧友的复杂心情。全词三段。上阕写初春访旧的环境氛围，中阕回忆当年初来时所见所爱，忆念伊人。当年万种风情，宛在目前。下阕抚今追昔，极写物是人非的哀戚。词作以铺叙手法绘画形象披露内心愁苦，今昔交错，人物情绪与作品境界均给予动态性的表现，其结构模式甚至带有戏剧性特点。词结构严谨，层次分明；缠绵婉转，沉郁顿挫；用语精工典丽，是难得的佳作。
《满庭芳·风老莺雏》,《满庭芳·夏日溧水无想山作》是北宋词人周邦彦创作的一首词。这首词是作者遭外放而感慨万千，欲求自我解脱的一首抒情之作。上片写江南初夏景色，将羁旅愁怀融入景中。下片抒发羁旅他乡孤苦寂寞之哀。此词整体哀怨却不激烈，含蓄委婉，沉郁顿挫中别饶情味，体现了清真词一贯的风格。
《青玉案·横塘路》,“梅子黄时雨”出自宋代贺铸所作之词《青玉案·横塘路》。
《鹧鸪天·重过阊门万事非》,《鹧鸪天·重过阊门万事非》是宋代词人贺铸为悼念亡妻赵氏而作。全词写得很沉痛，十分感人，是唐宋之后悼亡诗歌中不可多得的名篇。当时贺铸不久因事要离开夫妇共居的苏州时，痛感物是人非，满腹辛酸无处倾诉，只能发出“同来何事不同归”的哀叹。聆听着南窗的夜雨，遥想当年妻子在深夜里为自己补衣的情形，作者沉痛地表现出了对亡妻患难与共、相濡以沫之情的深切怀念。在表现手法上，此词将赋比兴三者参酌运用，丰富了情感表现手段，增强了艺术感人力量。
《天仙子·水调数声持酒听》,《天仙子·水调数声持酒听》是宋代文学家张先的代表词作。此词上阕写春愁无限及人生遗憾，五句话写五件伤怨的情事：《水调》歌怨声哀切，醉醒愁未醒，送春归去不知何时能回；临镜而伤年光飞逝，回忆往事历历，只有空怀旧梦；下阕通过“并禽”写自己孤独，月弄花影烘托出人生之无奈；以“落红应满径”暗喻作者情绪的低落。全词将作者慨叹年老位卑、前途渺茫之情与暮春之景有机地交融在一起，调子沉郁伤感，情蕴景中，用语精准，工于锻炼字句，体现了张词的主要艺术特色。其中“云破月来花弄影”是千古传诵的名句。
《千秋岁·数声鶗鴂》,《千秋岁·数声鶗鴂》是宋代词人张先的作品，被选入《宋词三百首》。此词写爱情横遭阻抑的幽怨和坚决不移的信念。上阕写暮春景色：雨轻风紧，催落繁花；杜鹃啼血，呼唤着春天完结，造成浓重的感伤气氛。惜春的词人，在花丛中寻找并采摘着残花，传神地刻画出词人伤春惜花的拳拳真情。接着以飘零的杨花，写春之落寞及心之寒冷。下阕抒情：“不老”的“天”与“难绝”的“情”相对比，再以“千千结”的“双丝网”比忧思百结的愁心，将愁情怨怀表达得淋漓尽致。最后以夜将尽的孤灯景象作结，让整个的抒情氛围笼罩在漆黑的深渊中，很富抒情效果。全词含蓄发越，体现了张先的词风。
《山中白云词》,《山中白云词》是南宋词人张炎的词集。张炎，字叔夏，号玉田，晚年号乐笑翁，祖籍凤翔成纪，寓居临安，“西湖吟社”重要成员。
《断肠诗集》,《新注朱淑真断肠诗集》是宋朱淑真创作的词的合集，10行22字作品。
《断肠词》,
《卜算子》,《卜算子·我住长江头》是宋代词人李之仪的作品，被选入《宋词三百首》。上片写相离之远与相思之切。用江水写出双方的空间阻隔和情思联系，朴实中见深刻。下片写女主人公对爱情的执着追求与热切的期望。用江水之悠悠不断，喻相思之绵绵不已，最后以己之钟情期望对方，真挚恋情，倾口而出。全词以长江水为抒情线索，语言明白如话，句式复叠回环，感情深沉真挚，深得民歌的神情风味，又具有文人词构思新巧，体现出灵秀隽永、玲珑晶莹的风神。
《姑溪词》,《卜算子·我住长江头》是宋代词人李之仪的作品，被选入《宋词三百首》。上片写相离之远与相思之切。用江水写出双方的空间阻隔和情思联系，朴实中见深刻。下片写女主人公对爱情的执着追求与热切的期望。用江水之悠悠不断，喻相思之绵绵不已，最后以己之钟情期望对方，真挚恋情，倾口而出。全词以长江水为抒情线索，语言明白如话，句式复叠回环，感情深沉真挚，深得民歌的神情风味，又具有文人词构思新巧，体现出灵秀隽永、玲珑晶莹的风神。
《阳春集》,《鹊踏枝·谁道闲情抛掷久》是五代十国时期南唐词人冯延巳的作品。此词以细腻、敏锐的笔触，描写闲情的苦恼不能解脱。上阕紧扣首句提出的复杂矛盾的心情回环反复，表现内心感情的痛苦纠结；下阕进一步抒发这种与时常新的闲情愁绪。全词语言清丽流转，感情深致含蓄，写尽了一个“愁”字。
《简斋集》,《雨晴》由宋代诗人陈与义于公元1123年所作，通过描写雨过天晴的景象，表现诗人一时欣喜的情感。
《太平樵歌》,
《永遇乐·璧月初晴》,《永遇乐·璧月初晴》是南宋词人刘辰翁所写的一首词。该词上片以临安今昔不同的春景春事特别是元宵况味穿插比照，引发感慨。下片追叙由北宋末到南渡初直至今日的痛史，拟用李清照的身世和口吻来感事抒情。全词通过今昔对比，使用情景交融的手法，抒发了国破家亡的痛苦和对故国的思念与眷恋，哀婉无穷，表达了临安沦陷后“江南无路”的悲苦之情。
《兰陵王·丙子送春》,《兰陵王·丙子送春》是宋末文学家刘辰翁创作的一首词。全词三阕。上阕由“送春去”开头，“人间无路”极写辛酸悲咽。“斗转城荒”诉说临安陷落，“不见来时试灯处”尤有深意。中阕由“春去谁最苦”的设问，讲述宋亡而爱国军民最为痛苦的事实。“送客屡回顾”状写宋宫室被掳掠的凄惨境遇。下阕由“春去尚来否”的设问，暗示宋朝大势已去，恢复无望。此词从表面上来看，是写春天，实际上却象征着南宋王朝，“送春”就是哀悼南宋的灭亡。在词中作者描绘故国沦陷后的衰败景象，反映南宋遗民所经历的种种苦难和作者的无限悲痛之情，凄绝哀怨，寄托遥深。
《风入松·听风听雨过清明》,《风入松·听风听雨过清明》是宋代词人吴文英的作品。此词表现暮春怀人之情，上片写伤春怀人的愁思，下片写伤春怀人的痴想。全词风格质朴淡雅，不事雕琢、不用典故，不论写景写情、写现实写回忆，都委婉细腻，情真意切。
